id,name,dob,contract_until,position,jersey_number,market_value,nationality,team_id
593,"Paulo Dybala
P. Dybala",1993-11-15,2020-06-30,Centre Forward,21.0,"45,000,000 €",Argentina,23
594,"Mario Mandzukic
M. Mandzukic",1986-05-21,2019-06-30,Centre Forward,17.0,"18,000,000 €",Croatia,23
595,"Ciprian Tatarusanu
C. Tatarusanu",1986-02-09,2019-06-30,Keeper,12.0,"5,000,000 €",Romania,24
596,"Bartlomiej Dragowski
B. Dragowski",1997-08-19,2021-06-30,Keeper,97.0,"3,200,000 €",Poland,24
597,"Luca Lezzerini
L. Lezzerini",1995-03-24,2018-06-30,Keeper,1.0,"300,000 €",Italy,24
598,"Giacomo Satalino
G. Satalino",1999-05-20,2019-06-30,Keeper,23.0,"75,000 €",Italy,24
599,"Davide Astori
D. Astori",1987-01-07,2019-06-30,Centre Back,13.0,"8,000,000 €",Italy,24
600,"Gonzalo Rodríguez
G. Rodríguez",1984-04-10,2017-06-30,Centre Back,2.0,"6,500,000 €",Argentina,24
601,"Nenad Tomovic
N. Tomovic",1987-08-30,2020-06-30,Centre Back,40.0,"5,000,000 €",Serbia,24
602,"Sebastien De Maio
S. De Maio",1987-03-05,2017-06-30,Centre Back,4.0,"3,000,000 €",France,24
603,"Carlos Salcedo
C. Salcedo",1993-09-29,2017-06-30,Centre Back,18.0,"3,000,000 €",Mexico,24
604,"Maximiliano Olivera
M. Olivera",1992-03-05,2017-06-30,Left-Back,15.0,"1,000,000 €",Uruguay,24
605,"Hrvoje Milic
H. Milic",1989-05-10,2018-06-30,Left-Back,31.0,"1,000,000 €",Croatia,24
606,"Kevin Diks
K. Diks",1996-10-06,2021-06-30,Right-Back,17.0,"2,000,000 €",Netherlands,24
607,"Milan Badelj
M. Badelj",1989-02-25,2018-06-30,Defensive Midfield,5.0,"10,000,000 €",Croatia,24
608,"Carlos Sánchez
C. Sánchez",1986-02-06,2017-06-30,Defensive Midfield,6.0,"3,500,000 €",Colombia,24
609,"Borja Valero
B. Valero",1985-01-12,2019-06-30,Central Midfield,20.0,"14,000,000 €",Spain,24
610,"Matías Vecino
M. Vecino",1991-08-24,2021-06-30,Central Midfield,8.0,"12,000,000 €",Uruguay,24
611,"Sebastián Cristóforo
S. Cristóforo",1993-08-23,2017-06-30,Central Midfield,19.0,"3,000,000 €",Uruguay,24
612,"Josip Ilicic
J. Ilicic",1988-01-29,2018-06-30,Attacking Midfield,72.0,"15,000,000 €",Slovenia,24
613,"Hernán Toledo
H. Toledo",1996-01-17,2017-06-30,Left Wing,11.0,"5,000,000 €",Argentina,24
614,"Federico Bernardeschi
F. Bernardeschi",1994-02-16,2019-06-30,Right Wing,10.0,"16,000,000 €",Italy,24
615,"Cristian Tello
C. Tello",1991-08-11,2017-06-30,Right Wing,16.0,"10,000,000 €",Spain,24
616,"Ianis Hagi
I. Hagi",1998-10-22,2019-06-30,Right Wing,24.0,"750,000 €",Romania,24
617,"Federico Chiesa
F. Chiesa",1997-10-25,2020-06-30,Right Wing,25.0,"100,000 €",Italy,24
618,"Mauro Zárate
M. Zárate",1987-03-18,2018-06-30,Secondary Striker,7.0,"3,000,000 €",Argentina,24
619,"Nikola Kalinic
N. Kalinic",1988-01-05,2019-06-30,Centre Forward,9.0,"14,000,000 €",Croatia,24
620,"Khouma Babacar
K. Babacar",1993-03-17,2019-06-30,Centre Forward,30.0,"7,500,000 €",Senegal,24
621,"Gianluigi Donnarumma
G. Donnarumma",1999-02-25,2018-06-30,Keeper,99.0,"10,000,000 €",Italy,25
622,"Alessandro Plizzari
A. Plizzari",2000-03-12,2018-06-30,Keeper,35.0,,Italy,25
623,"Alessio Romagnoli
A. Romagnoli",1995-01-12,2020-06-30,Centre Back,13.0,"18,000,000 €",Italy,25
624,"Gustavo Gómez
G. Gómez",1993-06-06,2021-06-30,Centre Back,15.0,"6,000,000 €",Paraguay,25
625,"Gabriel Paletta
G. Paletta",1986-02-15,2018-06-30,Centre Back,29.0,"5,000,000 €",Italy,25
626,"Cristián Zapata
C. Zapata",1986-09-30,2019-06-30,Centre Back,17.0,"2,800,000 €",Colombia,25
627,"Rodrigo Ely
R. Ely",1993-11-03,2019-06-30,Centre Back,4.0,"1,500,000 €",Brazil,25
628,"Luca Antonelli
L. Antonelli",1987-02-11,2019-06-30,Left-Back,31.0,"8,000,000 €",Italy,25
629,"Leonel Vangioni
L. Vangioni",1987-05-05,2019-06-30,Left-Back,21.0,"4,000,000 €",Argentina,25
630,"Ignazio Abate
I. Abate",1986-11-12,2019-06-30,Right-Back,20.0,"8,000,000 €",Italy,25
631,"Mattia De Sciglio
M. De Sciglio",1992-10-20,2018-06-30,Right-Back,2.0,"6,000,000 €",Italy,25
632,"Davide Calabria
D. Calabria",1996-12-06,2019-06-30,Right-Back,96.0,"1,000,000 €",Italy,25
633,"Riccardo Montolivo
R. Montolivo",1985-01-18,2019-06-30,Defensive Midfield,18.0,"4,500,000 €",Italy,25
634,"Andrea Bertolacci
A. Bertolacci",1991-01-11,2019-06-30,Central Midfield,91.0,"11,000,000 €",Italy,25
635,"Juraj Kucka
J. Kucka",1987-02-26,2019-06-30,Central Midfield,33.0,"9,000,000 €",Slovakia,25
636,"Andrea Poli
A. Poli",1989-09-29,2018-06-30,Central Midfield,16.0,"5,000,000 €",Italy,25
637,"Mario Pasalic
M. Pasalic",1995-02-09,2017-06-30,Central Midfield,80.0,"4,500,000 €",Croatia,25
638,"Manuel Locatelli
M. Locatelli",1998-01-08,2018-06-30,Central Midfield,73.0,"300,000 €",Italy,25
639,"José Sosa
J. Sosa",1985-06-19,2018-06-30,Attacking Midfield,23.0,"8,000,000 €",Argentina,25
640,"Mati Fernández
M. Fernández",1986-05-15,2017-06-30,Attacking Midfield,14.0,"6,000,000 €",Chile,25
641,"Giacomo Bonaventura
G. Bonaventura",1989-08-22,2019-06-30,Left Wing,5.0,"21,000,000 €",Italy,25
642,"Keisuke Honda
K. Honda",1986-06-13,2017-06-30,Right Wing,10.0,"7,000,000 €",Japan,25
643,"Suso
Suso",1993-11-19,2019-06-30,Right Wing,8.0,"5,500,000 €",Spain,25
644,"Carlos Bacca
C. Bacca",1986-09-08,2019-06-30,Centre Forward,70.0,"25,000,000 €",Colombia,25
645,"M'Baye Niang
M. Niang",1994-12-19,2019-06-30,Centre Forward,11.0,"12,000,000 €",France,25
646,"Luiz Adriano
Luiz Adriano",1987-04-12,2020-06-30,Centre Forward,7.0,"8,000,000 €",Brazil,25
647,"Gianluca Lapadula
G. Lapadula",1990-02-07,2021-06-30,Centre Forward,9.0,"6,500,000 €",Italy,25
648,"Joe Hart
Joe Hart",1987-04-19,2017-06-30,Keeper,21.0,"17,000,000 €",England,26
649,"Daniele Padelli
D. Padelli",1985-10-25,2017-06-30,Keeper,1.0,"1,200,000 €",Italy,26
650,"Leandro Castán
L. Castán",1986-11-05,2017-06-30,Centre Back,4.0,"5,000,000 €",Brazil,26
651,"Arlind Ajeti
A. Ajeti",1993-09-25,2019-06-30,Centre Back,93.0,"2,000,000 €",Albania,26
652,"Cesare Bovo
C. Bovo",1983-01-14,2017-06-30,Centre Back,5.0,"600,000 €",Italy,26
653,"Emiliano Moretti
E. Moretti",1981-06-11,2017-06-30,Centre Back,24.0,"600,000 €",Italy,26
654,"Antonio Barreca
A. Barreca",1995-03-18,2019-06-30,Left-Back,23.0,"1,000,000 €",Italy,26
655,"Cristian Molinaro
C. Molinaro",1983-07-30,2017-06-30,Left-Back,3.0,"600,000 €",Italy,26
656,"Lorenzo De Silvestri
L. De Silvestri",1988-05-23,2020-06-30,Right-Back,29.0,"5,000,000 €",Italy,26
657,"Davide Zappacosta
D. Zappacosta",1992-06-11,2019-06-30,Right-Back,7.0,"4,500,000 €",Italy,26
658,"Mirko Valdifiori
M. Valdifiori",1986-04-21,2019-06-30,Defensive Midfield,18.0,"4,000,000 €",Italy,26
659,"Sasa Lukic
S. Lukic",1996-08-13,2020-06-30,Defensive Midfield,25.0,"700,000 €",Serbia,26
660,"Giuseppe Vives
G. Vives",1980-07-14,2017-06-30,Defensive Midfield,20.0,"500,000 €",Italy,26
661,"Daniele Baselli
D. Baselli",1992-03-12,2019-06-30,Central Midfield,8.0,"6,500,000 €",Italy,26
662,"Marco Benassi
M. Benassi",1994-09-08,2021-06-30,Central Midfield,15.0,"6,500,000 €",Italy,26
663,"Afriyie Acquah
A. Acquah",1992-01-05,2019-06-30,Central Midfield,6.0,"3,000,000 €",Ghana,26
664,"Joel Obi
Joel Obi",1991-05-22,2019-06-30,Central Midfield,22.0,"2,000,000 €",Nigeria,26
665,"Samuel Gustafson
S. Gustafson",1995-01-11,2018-06-30,Central Midfield,16.0,"750,000 €",Sweden,26
666,"Mattia Aramu
M. Aramu",1995-05-14,2019-06-30,Right Wing,30.0,"500,000 €",Italy,26
667,"Adem Ljajic
A. Ljajic",1991-09-29,2020-06-30,Left Wing,10.0,"12,000,000 €",Serbia,26
668,"Iago Falqué
I. Falqué",1990-01-04,2017-06-30,Right Wing,14.0,"6,500,000 €",Spain,26
669,"Josef Martínez
J. Martínez",1993-05-19,2018-06-30,Secondary Striker,17.0,"2,000,000 €",Venezuela,26
670,"Andrea Belotti
A. Belotti",1993-12-20,2020-06-30,Centre Forward,9.0,"10,000,000 €",Italy,26
671,"Lucas Boyé
L. Boyé",1996-02-28,2020-06-30,Centre Forward,31.0,"2,000,000 €",Argentina,26
672,"Maxi López
M. López",1984-04-03,2018-06-30,Centre Forward,11.0,"1,000,000 €",Argentina,26
673,"Stefano Sorrentino
S. Sorrentino",1979-03-28,2018-06-30,Keeper,70.0,"800,000 €",Italy,27
674,"Andrea Seculin
A. Seculin",1990-07-14,2019-06-30,Keeper,90.0,"400,000 €",Italy,27
675,"Walter Bressan
W. Bressan",1981-01-26,,Keeper,32.0,"100,000 €",Italy,27
676,"Nicolás Spolli
N. Spolli",1983-02-20,2017-06-30,Centre Back,2.0,"700,000 €",Argentina,27
677,"Bostjan Cesar
B. Cesar",1982-07-09,2018-06-30,Centre Back,12.0,"600,000 €",Slovenia,27
678,"Alessandro Gamberini
A. Gamberini",1981-08-27,2019-06-30,Centre Back,5.0,"400,000 €",Italy,27
679,"Dario Dainelli
D. Dainelli",1979-06-09,2017-06-30,Centre Back,3.0,"200,000 €",Italy,27
680,"Filippo Costa
F. Costa",1995-05-21,2019-06-30,Left-Back,36.0,"300,000 €",Italy,27
681,"Massimo Gobbi
M. Gobbi",1980-10-31,2017-06-30,Left-Back,18.0,"200,000 €",Italy,27
682,"Fabrizio Cacciatore
F. Cacciatore",1986-10-08,2018-06-30,Right-Back,29.0,"1,400,000 €",Italy,27
683,"Nicolas Frey
N. Frey",1984-03-06,2017-06-30,Right-Back,21.0,"600,000 €",France,27
684,"Gennaro Sardo
G. Sardo",1979-05-08,2017-06-30,Right-Back,20.0,"100,000 €",Italy,27
685,"Nicola Rigoni
N. Rigoni",1990-11-12,2018-06-30,Defensive Midfield,4.0,"2,000,000 €",Italy,27
686,"Ivan Radovanovic
I. Radovanovic",1988-08-29,2019-06-30,Defensive Midfield,8.0,"2,000,000 €",Serbia,27
687,"Lucas Castro
L. Castro",1989-04-09,2018-06-30,Central Midfield,19.0,"6,000,000 €",Argentina,27
688,"Perparim Hetemaj
P. Hetemaj",1986-12-12,2017-06-30,Central Midfield,56.0,"4,500,000 €",Finland,27
689,"Mariano Izco
M. Izco",1983-03-13,2017-06-30,Central Midfield,13.0,"1,000,000 €",Argentina,27
690,"Samuel Bastien
S. Bastien",1996-09-26,2019-06-30,Central Midfield,28.0,"800,000 €",Belgium,27
691,"Valter Birsa
V. Birsa",1986-08-07,2018-06-30,Attacking Midfield,23.0,"3,500,000 €",Slovenia,27
692,"Jonathan de Guzmán
J. de Guzmán",1987-09-13,2017-06-30,Attacking Midfield,1.0,"3,000,000 €",Netherlands,27
693,"Vittorio Parigini
V. Parigini",1996-03-25,2017-06-30,Right Wing,27.0,"1,400,000 €",Italy,27
694,"Lamin Jallow
L. Jallow",1994-07-22,,Right Wing,95.0,"350,000 €",The Gambia,27
695,"Riccardo Meggiorini
R. Meggiorini",1985-09-04,2020-06-30,Secondary Striker,69.0,"3,500,000 €",Italy,27
696,"Roberto Inglese
R. Inglese",1991-11-12,2020-06-30,Centre Forward,45.0,"1,000,000 €",Italy,27
697,"Antonio Floro Flores
A. Floro Flores",1983-06-18,2019-06-30,Centre Forward,83.0,"1,000,000 €",Italy,27
698,"Sergio Pellissier
S. Pellissier",1979-04-12,2018-06-30,Centre Forward,31.0,"200,000 €",Italy,27
699,"Gabriel
Gabriel",1996-08-30,2021-06-30,Right Wing,96.0,"20,000,000 €",Brazil,28
700,"Samir Handanovic
S. Handanovic",1984-07-14,2019-06-30,Keeper,1.0,"15,000,000 €",Slovenia,28
701,"Juan Pablo Carrizo
J. Carrizo",1984-05-06,2017-06-30,Keeper,30.0,"500,000 €",Argentina,28
702,"Ionut Radu
I. Radu",1997-05-28,2017-06-30,Keeper,97.0,"300,000 €",Romania,28
703,"Tommaso Berni
T. Berni",1983-03-06,2017-06-30,Keeper,46.0,"200,000 €",Italy,28
704,"Jeison Murillo
J. Murillo",1992-05-27,2020-06-30,Centre Back,24.0,"18,000,000 €",Colombia,28
705,"Miranda
Miranda",1984-09-07,2018-06-30,Centre Back,25.0,"16,000,000 €",Brazil,28
706,"Andrea Ranocchia
A. Ranocchia",1988-02-16,2019-06-30,Centre Back,13.0,"6,000,000 €",Italy,28
707,"Marco Andreolli
M. Andreolli",1986-06-10,2017-06-30,Centre Back,2.0,"2,000,000 €",Italy,28
708,"Eloge Yao
Eloge Yao",1996-01-20,2020-06-30,Centre Back,94.0,"1,800,000 €",Cote d'Ivoire,28
709,"Cristian Ansaldi
C. Ansaldi",1986-09-20,2019-06-30,Left-Back,15.0,"6,000,000 €",Argentina,28
710,"Yuto Nagatomo
Y. Nagatomo",1986-09-12,2019-06-30,Left-Back,55.0,"6,000,000 €",Japan,28
711,"Senna Miangue
S. Miangue",1997-02-05,2020-06-30,Left-Back,95.0,"75,000 €",Belgium,28
712,"Danilo D'Ambrosio
D. D'Ambrosio",1988-09-09,2018-06-30,Right-Back,33.0,"8,000,000 €",Italy,28
713,"Davide Santon
D. Santon",1991-01-02,2018-06-30,Right-Back,21.0,"6,000,000 €",Italy,28
714,"Gary Medel
G. Medel",1987-08-03,2018-06-30,Defensive Midfield,17.0,"13,000,000 €",Chile,28
715,"Felipe Melo
Felipe Melo",1983-06-26,2017-06-30,Defensive Midfield,5.0,"2,500,000 €",Brazil,28
716,"João Mário
J. Mário",1993-01-19,2021-06-30,Central Midfield,6.0,"30,000,000 €",Portugal,28
717,"Geoffrey Kondogbia
G. Kondogbia",1993-02-15,2020-06-30,Central Midfield,7.0,"24,000,000 €",France,28
718,"Marcelo Brozovic
M. Brozovic",1992-11-16,2019-06-30,Central Midfield,77.0,"20,000,000 €",Croatia,28
719,"Assane Gnoukouri
A. Gnoukouri",1996-09-28,2020-06-30,Central Midfield,27.0,"700,000 €",Cote d'Ivoire,28
720,"Éver Banega
É. Banega",1988-06-29,2019-06-30,Attacking Midfield,19.0,"17,000,000 €",Argentina,28
721,"Ivan Perisic
I. Perisic",1989-02-02,2020-06-30,Left Wing,44.0,"25,000,000 €",Croatia,28
722,"Antonio Candreva
A. Candreva",1987-02-28,2020-06-30,Right Wing,87.0,"23,000,000 €",Italy,28
723,"Jonathan Biabiany
J. Biabiany",1988-04-28,2019-06-30,Right Wing,11.0,"7,000,000 €",France,28
724,"Stevan Jovetic
S. Jovetic",1989-11-02,2019-06-30,Secondary Striker,10.0,"14,000,000 €",Montenegro,28
725,"Rodrigo Palacio
R. Palacio",1982-02-05,2017-06-30,Secondary Striker,8.0,"2,000,000 €",Argentina,28
726,"Mauro Icardi
M. Icardi",1993-02-19,2019-06-30,Centre Forward,9.0,"35,000,000 €",Argentina,28
727,"Éder
Éder",1986-11-15,2017-06-30,Centre Forward,23.0,"12,500,000 €",Italy,28
728,"Lukasz Skorupski
L. Skorupski",1991-05-05,2017-06-30,Keeper,28.0,"4,000,000 €",Poland,29
729,"Alberto Pelagotti
A. Pelagotti",1989-03-09,2019-06-30,Keeper,23.0,"500,000 €",Italy,29
730,"Maurizio Pugliesi
M. Pugliesi",1976-12-27,2017-06-30,Keeper,1.0,"25,000 €",Italy,29
731,"Giuseppe Bellusci
G. Bellusci",1989-08-21,2017-06-30,Centre Back,6.0,"2,000,000 €",Italy,29
732,"Federico Barba
F. Barba",1993-09-01,2019-06-30,Centre Back,19.0,"1,800,000 €",Italy,29
733,"Andrea Costa
A. Costa",1986-02-01,2018-06-30,Centre Back,15.0,"1,300,000 €",Italy,29
734,"Uroš ?osi?
U. ?osi?",1992-10-24,2018-06-30,Centre Back,24.0,"800,000 €",Serbia,29
735,"Federico Dimarco
F. Dimarco",1997-11-10,2017-06-30,Left-Back,4.0,"1,300,000 €",Italy,29
736,"Manuel Pasqual
M. Pasqual",1982-03-13,2018-06-30,Left-Back,21.0,"800,000 €",Italy,29
737,"Vincent Laurini
V. Laurini",1989-06-10,2018-06-30,Right-Back,2.0,"1,500,000 €",France,29
738,"Frédéric Veseli
F. Veseli",1992-11-20,2018-06-30,Right-Back,13.0,"800,000 €",Albania,29
739,"Marco Zambelli
M. Zambelli",1985-08-22,2017-06-30,Right-Back,3.0,"600,000 €",Italy,29
740,"Assane Dioussé
A. Dioussé",1997-09-20,2020-06-30,Defensive Midfield,8.0,"4,000,000 €",Senegal,29
741,"José Mauri
J. Mauri",1996-05-16,2017-06-30,Central Midfield,5.0,"4,500,000 €",Italy,29
742,"Marcel Büchel
M. Büchel",1991-03-18,2019-06-30,Central Midfield,77.0,"2,000,000 €",Liechtenstein,29
743,"Raffaele Maiello
R. Maiello",1991-07-10,2017-06-30,Central Midfield,17.0,"1,200,000 €",Italy,29
744,"Andrés Tello
A. Tello",1996-09-06,2017-06-30,Central Midfield,88.0,"900,000 €",Colombia,29
745,"Daniele Croce
D. Croce",1982-09-09,2017-06-30,Central Midfield,11.0,"500,000 €",Italy,29
746,"Riccardo Saponara
R. Saponara",1991-12-21,2018-06-30,Attacking Midfield,10.0,"15,000,000 €",Italy,29
747,"Rade Krunic
R. Krunic",1993-10-07,2018-06-30,Attacking Midfield,33.0,"600,000 €",Bosnia-Herzegovina,29
748,"Matheus Pereira
M. Pereira",1998-02-25,2020-06-30,Attacking Midfield,31.0,"100,000 €",Brazil,29
749,"Manuel Pucciarelli
M. Pucciarelli",1991-06-17,2020-06-30,Secondary Striker,20.0,"4,000,000 €",Italy,29
750,"Guido Marilungo
G. Marilungo",1989-08-09,2017-06-30,Secondary Striker,89.0,"600,000 €",Italy,29
751,"Alberto Gilardino
A. Gilardino",1982-07-05,2018-06-30,Centre Forward,18.0,"1,000,000 €",Italy,29
752,"Massimo Maccarone
M. Maccarone",1979-09-06,2017-06-30,Centre Forward,7.0,"500,000 €",Italy,29
753,"Levan Mchedlidze
L. Mchedlidze",1990-03-24,2018-06-30,Centre Forward,9.0,"500,000 €",Georgia,29
754,"Roman Chanturia
R. Chanturia",1996-02-09,2019-06-30,Centre Forward,99.0,"150,000 €",Georgia,29
755,"Emiliano Viviano
E. Viviano",1985-12-01,2021-06-30,Keeper,2.0,"5,000,000 €",Italy,30
756,"Christian Puggioni
C. Puggioni",1981-01-17,2018-06-30,Keeper,1.0,"300,000 €",Italy,30
757,"Andrea Tozzo
A. Tozzo",1992-08-30,2018-06-30,Keeper,92.0,"200,000 €",Italy,30
758,"Titas Krapikas
T. Krapikas",1999-01-03,2019-06-30,Keeper,12.0,"75,000 €",Lithuania,30
759,"Matías Silvestre
M. Silvestre",1984-09-25,2017-06-30,Centre Back,26.0,"2,000,000 €",Argentina,30
760,"Luka Krajnc
L. Krajnc",1994-09-19,2017-06-30,Centre Back,15.0,"1,200,000 €",Slovenia,30
761,"Milan Skriniar
M. Skriniar",1995-02-11,2020-06-30,Centre Back,37.0,"800,000 €",Slovakia,30
762,"Dodô
Dodô",1992-02-06,2020-06-30,Left-Back,5.0,"5,000,000 €",Brazil,30
763,"Vasco Regini
V. Regini",1990-09-09,2020-06-30,Left-Back,19.0,"2,500,000 €",Italy,30
764,"Daniel Pavlovic
D. Pavlovic",1988-04-22,2018-06-30,Left-Back,20.0,"800,000 €",Switzerland,30
765,"Stanley Amuzie
S. Amuzie",1996-02-28,,Left-Back,3.0,"100,000 €",Nigeria,30
766,"Jacopo Sala
J. Sala",1991-12-05,2020-06-30,Right-Back,22.0,"2,500,000 €",Italy,30
767,"Pedro Pereira
P. Pereira",1998-01-22,2018-06-30,Right-Back,13.0,"1,000,000 €",Portugal,30
768,"Luca Cigarini
L. Cigarini",1986-06-20,2019-06-30,Defensive Midfield,21.0,"5,000,000 €",Italy,30
769,"Lucas Torreira
L. Torreira",1996-02-11,2020-06-30,Defensive Midfield,34.0,"1,500,000 €",Uruguay,30
770,"Angelo Palombo
A. Palombo",1981-09-25,2017-06-30,Defensive Midfield,17.0,"500,000 €",Italy,30
771,"Bruno Fernandes
B. Fernandes",1994-09-08,2017-06-30,Central Midfield,10.0,"6,500,000 €",Portugal,30
772,"Karol Linetty
K. Linetty",1995-02-02,2021-06-30,Central Midfield,16.0,"3,200,000 €",Poland,30
773,"Carlos Carbonero
C. Carbonero",1990-07-25,2017-06-30,Central Midfield,7.0,"3,000,000 €",Colombia,30
774,"Édgar Barreto
É. Barreto",1984-07-15,2018-06-30,Central Midfield,8.0,"1,500,000 €",Paraguay,30
775,"Mirko Eramo
M. Eramo",1989-07-12,2018-06-30,Central Midfield,6.0,"600,000 €",Italy,30
776,"Dennis Praet
D. Praet",1994-05-14,2021-06-30,Attacking Midfield,18.0,"9,000,000 €",Belgium,30
777,"Ricardo Álvarez
R. Álvarez",1988-04-12,2019-06-30,Attacking Midfield,11.0,"6,500,000 €",Argentina,30
778,"Filip Djuricic
F. Djuricic",1992-01-30,2017-06-30,Attacking Midfield,23.0,"4,000,000 €",Serbia,30
779,"Antonio Cassano
A. Cassano",1982-07-12,2017-06-30,Secondary Striker,NaN,"500,000 €",Italy,30
780,"Luis Muriel
L. Muriel",1991-04-16,2019-06-30,Centre Forward,9.0,"9,500,000 €",Colombia,30
781,"Patrik Schick
P. Schick",1996-01-24,2020-06-30,Centre Forward,14.0,"3,000,000 €",Czech Republic,30
782,"Ante Budimir
A. Budimir",1991-07-22,2020-06-30,Centre Forward,47.0,"3,000,000 €",Croatia,30
783,"Fabio Quagliarella
F. Quagliarella",1983-01-31,2017-06-30,Centre Forward,27.0,"2,500,000 €",Italy,30
784,"Mattia Perin
M. Perin",1992-11-10,2019-06-30,Keeper,1.0,"17,500,000 €",Italy,31
785,"Eugenio Lamanna
E. Lamanna",1989-08-07,2019-06-30,Keeper,23.0,"2,500,000 €",Italy,31
786,"Lukas Zima
L. Zima",1994-01-09,2018-06-30,Keeper,38.0,"100,000 €",Czech Republic,31
787,"Armando Izzo
A. Izzo",1992-03-02,2019-06-30,Centre Back,5.0,"3,500,000 €",Italy,31
788,"Ezequiel Muñoz
E. Muñoz",1990-10-08,2019-06-30,Centre Back,24.0,"3,300,000 €",Argentina,31
789,"Santiago Gentiletti
S. Gentiletti",1985-01-09,2019-06-30,Centre Back,3.0,"1,000,000 €",Argentina,31
790,"Nicolás Burdisso
N. Burdisso",1981-04-12,2017-06-30,Centre Back,8.0,"400,000 €",Argentina,31
791,"Davide Biraschi
D. Biraschi",1994-07-02,2021-06-30,Centre Back,14.0,"400,000 €",Italy,31
792,"Lucas Orbán
L. Orbán",1989-02-03,2019-06-30,Left-Back,21.0,"3,000,000 €",Argentina,31
793,"Davide Brivio
D. Brivio",1988-03-17,2018-06-30,Left-Back,28.0,"1,300,000 €",Italy,31
794,"Riccardo Fiamozzi
R. Fiamozzi",1993-05-18,2019-06-30,Right-Back,29.0,"1,000,000 €",Italy,31
795,"Issa Cissokho
I. Cissokho",1985-02-23,2018-06-30,Right-Back,20.0,"500,000 €",Senegal,31
796,"Tomás Rincón
T. Rincón",1988-01-13,2018-06-30,Defensive Midfield,88.0,"7,000,000 €",Venezuela,31
797,"Miguel Veloso
M. Veloso",1986-05-11,2017-06-30,Defensive Midfield,44.0,"6,000,000 €",Portugal,31
798,"Luca Rigoni
L. Rigoni",1984-12-07,2018-06-30,Central Midfield,30.0,"3,500,000 €",Italy,31
799,"Isaac Cofie
I. Cofie",1991-09-20,2017-06-30,Central Midfield,4.0,"1,800,000 €",Ghana,31
800,"Olivier Ntcham
O. Ntcham",1996-02-09,2017-06-30,Central Midfield,10.0,"1,500,000 €",France,31
801,"Edenilson
Edenilson",1989-12-18,2017-06-30,Right Midfield,2.0,"2,500,000 €",Brazil,31
802,"Diego Laxalt
D. Laxalt",1993-02-07,2018-06-30,Left Midfield,93.0,"5,500,000 €",Uruguay,31
803,"Nikola Ninkovic
N. Ninkovic",1994-12-19,2019-06-30,Attacking Midfield,99.0,"900,000 €",Serbia,31
804,"Lucas Ocampos
L. Ocampos",1994-07-11,2020-06-30,Left Wing,11.0,"6,000,000 €",Argentina,31
805,"Darko Lazovic
D. Lazovic",1990-09-15,2020-06-30,Right Wing,22.0,"2,000,000 €",Serbia,31
806,"Serge Gakpé
S. Gakpé",1987-05-07,2018-06-30,Right Wing,13.0,"2,000,000 €",Togo,31
807,"Goran Pandev
G. Pandev",1983-07-27,2017-06-30,Secondary Striker,27.0,"500,000 €",Macedonia,31
808,"Giovanni Simeone
G. Simeone",1995-07-05,2021-06-30,Centre Forward,9.0,"8,000,000 €",Argentina,31
809,"Leonardo Pavoletti
L. Pavoletti",1988-11-26,2019-06-30,Centre Forward,19.0,"8,000,000 €",Italy,31
810,"João Pedro
João Pedro",1992-03-09,2020-06-30,Attacking Midfield,10.0,"1,500,000 €",Brazil,32
811,"Luca Rossettini
L. Rossettini",1985-05-09,2018-06-30,Centre Back,15.0,"2,000,000 €",Italy,32
812,"Danilo Avelar
D. Avelar",1989-06-09,2019-06-30,Left-Back,8.0,"1,000,000 €",Brazil,32
813,"Zeljko Brkic
Z. Brkic",1986-07-09,,Keeper,44.0,"4,500,000 €",Serbia,32
814,"Simone Colombi
S. Colombi",1991-07-01,,Keeper,1.0,"1,000,000 €",Italy,32
815,"Alessio Cragno
A. Cragno",1994-06-28,2018-06-30,Keeper,27.0,"900,000 €",Italy,32
816,"Werther Carboni
W. Carboni",1996-04-04,,Keeper,28.0,"100,000 €",Italy,32
817,"Modibo Diakité
M. Diakité",1987-03-02,,Centre Back,37.0,"2,000,000 €",France,32
818,"Marco Capuano
M. Capuano",1991-10-14,2018-06-30,Centre Back,33.0,"1,600,000 €",Italy,32
819,"Simone Benedetti
S. Benedetti",1992-04-03,2017-06-30,Centre Back,NaN,"900,000 €",Italy,32
820,"Luca Ceppitelli
L. Ceppitelli",1989-08-11,2020-06-30,Centre Back,32.0,"450,000 €",Italy,32
821,"Nicola Murru
N. Murru",1994-12-16,,Left-Back,3.0,"2,500,000 €",Italy,32
822,"Francesco Pisano
F. Pisano",1986-04-29,,Right-Back,14.0,"2,300,000 €",Italy,32
823,"Alejandro González
A. González",1988-03-23,,Right-Back,2.0,"2,000,000 €",Uruguay,32
824,"Antonio Balzano
A. Balzano",1986-06-13,2018-06-30,Right-Back,21.0,"600,000 €",Italy,32
825,"Daniele Conti
D. Conti",1979-01-09,,Defensive Midfield,5.0,"500,000 €",Italy,32
826,"Albin Ekdal
A. Ekdal",1989-07-28,2016-06-30,Central Midfield,20.0,"4,000,000 €",Sweden,32
827,"Josef Husbauer
J. Husbauer",1990-03-16,,Central Midfield,22.0,"3,000,000 €",Czech Republic,32
828,"Daniele Dessena
D. Dessena",1987-05-10,,Central Midfield,16.0,"2,000,000 €",Italy,32
